bigram,count,joint_prob,cond_prob,pmi
пряма мова,43,0.0011221587202171247,1.0,9.671221088945906
європейська правда,38,0.0009916751480988544,0.8837209302325582,9.689920694746945
млн грн,26,0.0006785145750150056,0.41935483870967744,7.177637482027654
близькому сході,24,0.0006263211461676975,1.0,10.470922438460075
тис грн,24,0.0006263211461676975,0.375,7.016356574994594
ормузької протоки,20,0.0005219342884730812,1.0,10.640847439902386
джерело європейська,20,0.0005219342884730812,0.1652892561983471,7.202610043534211
млрд грн,20,0.0005219342884730812,0.4166666666666667,7.168359668439642
населених пунктів,19,0.0004958375740494272,1.0,10.525370222482449
оборони україни,19,0.0004958375740494272,0.2835820895522388,5.581099776318439
володимир зеленський,18,0.00046974085962577314,0.8181818181818182,9.412741367371543
правда посиланням,18,0.00046974085962577314,0.43902439024390244,8.680630932829686
позбавлення волі,15,0.0003914507163548109,0.9375,11.132700536232061
млрд євро,15,0.0003914507163548109,0.3125,7.338284669881956
деталі словами,14,0.00036535400193115687,0.09722222222222222,6.030349847074094
близького сходу,14,0.00036535400193115687,1.0,11.138347099373203
сили оборони,14,0.00036535400193115687,0.42424242424242425,7.922681552864921
річний чоловік,14,0.00036535400193115687,0.5384615384615384,9.474744149412484
говориться повідомленні,14,0.00036535400193115687,0.7368421052631579,9.977882427179958
деталі даними,13,0.0003392572875075028,0.09027777777777778,5.606577537817641
бойових дій,13,0.0003392572875075028,0.5416666666666666,9.387090847656605
правда деталі,13,0.0003392572875075028,0.3170731707317073,6.39877265270424
даними слідства,13,0.0003392572875075028,0.18309859154929578,8.776502539259955
повідомили підозру,13,0.0003392572875075028,0.24074074074074073,8.126968037242714
йдеться повідомленні,12,0.00031316057308384876,0.23529411764705882,8.3309921773156
припинення вогню,12,0.00031316057308384876,0.4444444444444444,10.248530017123628
генерал черешня,12,0.00031316057308384876,1.0,11.640847439902387
ціни нафту,11,0.0002870638586601947,0.3055555555555556,7.814876839677433
тримання вартою,11,0.0002870638586601947,1.0,11.318919345015022
соток тис,11,0.0002870638586601947,0.6470588235294118,8.597778718010499
